咲緒里,"さおり","Shogi pro: 島井咲緒里",First Name:
哲也,"てつや","Shogi pro: 藤森哲也",First Name:
哲郎,"てつろう","Shogi pro: 糸谷哲郎",First Name:
啓三,"けいぞう","Shogi pro: 星田啓三",First Name:
啓太,"けいた","Shogi pro: 門倉啓太",First Name:
善治,"よしはる","Shogi pro: 羽生善治",First Name:
喜代作,"きよさく","Shogi pro: 関屋喜代作",First Name:
喜祐,"きすけ","Shogi pro: 谷頭喜祐",First Name:
嘉孝,"よしたか","Shogi pro: 木村嘉孝",First Name:
四郎,"しろう","Shogi pro: 板谷四郎",First Name:
國雄,"くにお","Shogi pro: 内藤國雄",First Name:
土佐,"とさ","Shogi pro: 土佐浩司",Last Name:
土居,"どい","Shogi pro: 土居市太郎",Last Name:
圭,"けい","Shogi pro: 加藤圭",First Name:
圭一,"けいいち","Shogi pro: 真田圭一",First Name:
圭生,"たまお","Shogi pro: 鹿野圭生",First Name:
坂口,"さかぐち","Shogi pro: 坂口允彦",Last Name:
坂東,"ばんどう","Shogi pro: 坂東香菜子",Last Name:
坂田,"さかた","Shogi pro: 坂田三吉",Last Name:
坪内,"つぼうち","Shogi pro: 坪内利幸",Last Name:
基芳,"もとよし","Shogi pro: 奥野基芳",First Name:
堀,"ほり","Shogi pro: 堀彩乃",Last Name:
堀口,"ほりぐち","Shogi pro: 堀口一史座, 堀口弘治",Last Name:
塚田,"つかだ","Shogi pro: 塚田恵梨花, 塚田正夫, 塚田泰明",Last Name:
増田,"ますだ","Shogi pro: 増田康宏, 増田敏二, 増田裕司",Last Name:
多恵子,"たえこ","Shogi pro: 森安多恵子",First Name:
多田,"ただ","Shogi pro: 多田佳子",Last Name:
大五郎,"だいごろう","Shogi pro: 佐藤大五郎",First Name:
大介,"だいすけ","Shogi pro: 鈴木大介",First Name:
大内,"おおうち","Shogi pro: 大内延介",Last Name:
大原,"おおはら","Shogi pro: 大原英二",Last Name:
大友,"おおとも","Shogi pro: 大友昇",Last Name:
大和久,"おおわく","Shogi pro: 大和久彪",Last Name:
大地,"だいち","Shogi pro: 佐々木大地",First Name:
大夢,"ひろむ","Shogi pro: 渡辺大夢",First Name:
大山,"おおやま","Shogi pro: 大山康晴",Last Name:
大島,"おおしま","Shogi pro: 大島映二, 大島綾華",Last Name:
大崎,"おおさき","Shogi pro: 大崎熊雄",Last Name:
大平,"おおひら","Shogi pro: 大平武洋",Last Name:
大庭,"おおば","Shogi pro: 大庭美夏, 大庭美樹",Last Name:
大村,"おおむら","Shogi pro: 大村和久",Last Name:
大橋,"おおはし","Shogi pro: 大橋宗与, 大橋宗伝, 大橋宗古, 大橋宗桂, 大橋宗珉, 大橋宗英, 大橋宗金, 大橋宗銀, 大橋宗順, 大橋柳雪, 大橋浪女, 大橋貴洸",Last Name:
大矢,"おおや","Shogi pro: 大矢東吉",Last Name:
大石,"おおいし","Shogi pro: 大石直嗣",Last Name:
大輔,"だいすけ","Shogi pro: 中川大輔, 片上大輔",First Name:
大野,"おおの","Shogi pro: 大野八一雄, 大野源一",Last Name:
天彦,"あまひこ","Shogi pro: 佐藤天彦",First Name:
天志,"たかし","Shogi pro: 池永天志",First Name:
天野,"あまの","Shogi pro: 天野宗歩",Last Name:
太地,"たいち","Shogi pro: 中村太地",First Name:
奈々,"なな","Shogi pro: 藤井奈々",First Name:
奈津子,"なつこ","Shogi pro: 藤森奈津子",First Name:
奈菜,"なな","Shogi pro: 頼本奈菜",First Name:
奎,"けい","Shogi pro: 本田奎",First Name:
奏,"かなで","Shogi pro: 砂原奏",First Name:
奥野,"おくの","Shogi pro: 奥野基芳",Last Name:
孝一,"こういち","Shogi pro: 児玉孝一",First Name:
孝功,"たかのり","Shogi pro: 安用寺孝功",First Name:
孝史,"たかし","Shogi pro: 金沢孝史",First Name:
孝弘,"たかひろ","Shogi pro: 豊川孝弘",First Name:
学,"まなぶ","Shogi pro: 先崎学, 熊坂学",First Name:
宇治,"うじ","Shogi pro: 宇治正子",Last Name:
安恵,"やすえ","Shogi pro: 安恵照剛",Last Name:
安用寺,"あんようじ","Shogi pro: 安用寺孝功",Last Name:
安西,"あんざい","Shogi pro: 安西勝一",Last Name:
安食,"あじき","Shogi pro: 安食総子",Last Name:
宏,"ひろし","Shogi pro: 小林宏",First Name:
宏充,"ひろみつ","Shogi pro: 神吉宏充",First Name:
宏孝,"ひろたか","Shogi pro: 梶浦宏孝",First Name:
宏樹,"ひろき","Shogi pro: 中田宏樹",First Name:
宏美,"ひろみ","Shogi pro: 中倉宏美",First Name:
宗与,"そうよ","Shogi pro: 大橋宗与",First Name:
宗伝,"そうでん","Shogi pro: 大橋宗伝",First Name:
宗印,"そういん","Shogi pro: 伊藤宗印",First Name:
宗古,"そうこ","Shogi pro: 大橋宗古",First Name:
宗寿,"そうかん","Shogi pro: 伊藤宗寿",First Name:
宗桂,"そうけい","Shogi pro: 大橋宗桂",First Name:
宗歩,"そうほ","Shogi pro: 天野宗歩",First Name:
宗珉,"そうきん","Shogi pro: 大橋宗珉",First Name:
宗看,"そうかん","Shogi pro: 伊藤宗看",First Name:
宗英,"そうえい","Shogi pro: 大橋宗英",First Name:
宗金,"そうきん","Shogi pro: 大橋宗金",First Name:
宗銀,"そうぎん","Shogi pro: 大橋宗銀",First Name:
